Index,SCREEN_NAME,NATIONALITY,NAME
57,josebove,France,BOVÉ José
58,LNBDublin,Ireland,BOYLAN Lynn
59,PaulBrannenNE,United Kingdom,BRANNEN Paul
60,mercedesbresso,Italy,BRESSO Mercedes
61,renatabriano,Italy,BRIANO Renata
62,SteeveBriois,France,BRIOIS Steeve
63,ElmarBrok_MEP,Germany,BROK Elmar
64,Dr_KlausBuchner,Germany,BUCHNER Klaus
65,MEPDanielBuda,Romania,BUDA Daniel
66,UdoBullmann,Germany,BULLMANN Udo
67,bueti,Germany,BÜTIKOFER Reinhard
68,JerzyBuzek,Poland,BUZEK Jerzy
69,SoledadCabezon,Spain,CABEZÓN RUIZ Soledad
70,AlainCadec,France,CADEC Alain
71,EnriqueCalvet,Spain,CALVET CHAMBON Enrique
72,WimvandeCamp,Netherlands,CAMP Wim van de
73,DCBMEP,United Kingdom,CAMPBELL BANNERMAN David
74,NicolaCaputo,Italy,CAPUTO Nicola
75,mattcarthy,Ireland,CARTHY Matt
76,JamesJimCarver,United Kingdom,CARVER James
77,DavidCasaMEP,Malta,CASA David
78,caspary,Germany,CASPARY Daniel
79,FMCastaldo,Italy,CASTALDO Fabio Massimo
80,delcastillop,Spain,CASTILLO VERA Pilar del
81,JeanMarieCAVADA,France,CAVADA Jean-Marie
82,L_Cesa,Italy,CESA Lorenzo
83,charanzova,Czech Republic,CHARANZOVÁ Dita
84,a_chauprade,France,CHAUPRADE Aymeric
85,NChildersMEP,Ireland,CHILDERS Nessa
86,CaterinaChinnic,Italy,CHINNICI Caterina
87,NikosChountis,Greece,CHOUNTIS Nikolaos
88,OleEU,Denmark,CHRISTENSEN Ole
89,LefChristoforou,Cyprus,CHRISTOFOROU Lefteris
90,Chrysogonos_K,Greece,CHRYSOGONOS Kostas
91,SalvoCicu,Italy,CICU Salvatore
92,AngeloCiocca,Italy,CIOCCA Angelo
93,Alberto_Cirio,Italy,CIRIO Alberto
94,DeirdreCluneMEP,Ireland,CLUNE Deirdre
95,DavidCoburnUKip,United Kingdom,COBURN David
96,CarlosCoelhoPE,Portugal,COELHO Carlos
97,Cofferati,Italy,COFFERATI Sergio Gaetano
98,Jane_CollinsMEP,United Kingdom,COLLINS Jane
99,comilara,Italy,COMI Lara
100,ComodiniCachia,Malta,COMODINI CACHIA Therese
101,AnnaMariaCB,Sweden,CORAZZA BILDT Anna Maria
102,RCorbettMEP,United Kingdom,CORBETT Richard
103,ignaziocorrao,Italy,CORRAO Ignazio
104,SilviaCostaEU,Italy,COSTA Silvia
105,Caninator,Spain,COUSO PERMUY Javier
106,cozzolino62,Italy,COZZOLINO Andrea
107,MepMCramer,Germany,CRAMER Michael
108,andicristeamep,Romania,CRISTEA Andi
109,csakypal,Slovakia,CSÁKY Pál
110,r_czarnecki,Poland,CZARNECKI Ryszard
111,petervdalen,Netherlands,DALEN Peter van
112,Miriamdalli,Malta,DALLI Miriam
113,ddalton40,United Kingdom,DALTON Daniel
114,JakopDalunde,Sweden,DALUNDE Jakop
115,rosadamato634,Italy,D'AMATO Rosa
116,SebDance,United Kingdom,DANCE Seb
117,VioricaDancila,Romania,DĂNCILĂ Viorica
118,ArnaudDanjean,France,DANJEAN Arnaud
119,DantiNicola,Italy,DANTI Nicola
120,MichelDANTIN,France,DANTIN Michel
121,datirachida,France,DATI Rachida
122,paolodecastro,Italy,DE CASTRO Paolo
123,Delahaye_Europe,France,DELAHAYE Angélique
124,AndorDeli,Hungary,DELI Andor
125,KarimaDelli,France,DELLI Karima
126,mady_delvaux,Luxembourg,DELVAUX Mady
127,FabioDeMasi,Germany,DE MASI Fabio
128,markdemesmaeker,Belgium,DEMESMAEKER Mark
129,IsabellaDeMonte,Italy,DE MONTE Isabella
130,jpdenanot,France,DENANOT Jean-Paul
131,gerardeprez,Belgium,DEPREZ Gérard
132,desarnez,France,SARNEZ Marielle de
133,dajcstomi,Hungary,DEUTSCH Tamás
134,NirjDeva,United Kingdom,DEVA Nirj
135,M_DiaconuMEP,Romania,DIACONU Mircea
136,Mdlabajova,Czech Republic,DLABAJOVÁ Martina
137,AnnelieseDodds,United Kingdom,DODDS Anneliese
138,DianeDoddsMEP,United Kingdom,DODDS Diane
139,MEPDohrmann,Denmark,DOHRMANN Jørn
140,HerbertDorfmann,Italy,DORFMANN Herbert
141,MireilledOrnano,France,D'ORNANO Mireille
142,damiandraghici,Romania,DRĂGHICI Damian
143,IanDuncanMEP,United Kingdom,DUNCAN Ian
144,PDurandOfficiel,France,DURAND Pascal
145,Stefan_Eck_MEP,Germany,ECK Stefan
146,BasEickhout,Netherlands,EICKHOUT Bas
147,LinneaEngstrom,Sweden,ENGSTRÖM Linnéa
148,EpitidGeorgios,Greece,EPITIDEIOS Georgios
149,ErnstCornelia,Germany,ERNST Cornelia
150,IsmailErtug,Germany,ERTUG Ismail
151,JillEvansMEP,United Kingdom,EVANS Jill
152,EleonoraEvi,Italy,EVI Eleonora
153,tfajon,Slovenia,FAJON Tanja
154,Nigel_Farage,United Kingdom,FARAGE Nigel
155,JoseFariaMEP,Portugal,FARIA José Inácio
156,federley,Sweden,FEDERLEY Fredrick
157,MarkusFerber,Germany,FERBER Markus
158,JMFernandesEU,Portugal,FERNANDES José Manuel
159,jonasfernandez,Spain,FERNÁNDEZ Jonás
160,e_ferrand,France,FERRAND Edouard
161,LFerraraM5S,Italy,FERRARA Laura
162,SantiagoFisas,Spain,FISAS AYXELÀ Santiago
163,RaffaeleFitto,Italy,FITTO Raffaele
164,Fjellner,Sweden,FJELLNER Christofer
165,lukeming,Ireland,FLANAGAN Luke Ming
166,MonikaFlaBenova,Slovakia,FLAŠÍKOVÁ BEŇOVÁ Monika
167,knufleckenstein,Germany,FLECKENSTEIN Knut
168,Fontana3Lorenzo,Italy,FONTANA Lorenzo
169,vickyford,United Kingdom,FORD Vicky
170,jfostermep,United Kingdom,FOSTER Jacqueline
171,FountoulisLampr,Greece,FOUNTOULIS Lampros
172,Ashleyfoxmep,United Kingdom,FOX Ashley
173,EugenAFreund,Austria,FREUND Eugen
174,GabrielMariya,Bulgaria,GABRIEL Mariya
175,fgambus_eu,Spain,GAMBÚS Francesc
176,IratxeGarper,Spain,GARCÍA PÉREZ Iratxe
177,EGardiazabal,Spain,GARDIAZABAL RUBIAL Eider
178,EGardini,Italy,GARDINI Elisabetta
179,enricogasbarra,Italy,GASBARRA Enrico
180,EuropaJens,Germany,GEIER Jens
181,elena_gentile,Italy,GENTILE Elena
182,Gerbrandy,Netherlands,GERBRANDY Gerben-Jan
183,Arne_Gericke,Germany,GERICKE Arne
184,lidiageringer,Poland,GERINGER OEDENBERG Lidia Joanna de
185,AdamGierek,Poland,GIEREK Adam
186,NathanGillMEP,United Kingdom,GILL Nathan
187,NeenaGmep,United Kingdom,GILL Neena
188,gimenezbarbat,Spain,GIMÉNEZ BARBAT María Teresa
189,juliegirling,United Kingdom,GIRLING Julie
190,m_giuffrida,Italy,GIUFFRIDA Michela
191,Sylvie_Goddyn,France,GODDYN Sylvie
192,CharlesGoerens,Luxembourg,GOERENS Charles
193,brunogollnisch,France,GOLLNISCH Bruno
194,AnaGomesMEP,Portugal,GOMES Ana
195,TaniaGonzalezPs,Spain,GONZÁLEZ PEÑAS Tania
196,gonzalezpons,Spain,GONZÁLEZ PONS Esteban
197,BeataGosiewska,Poland,GOSIEWSKA Beata
198,GoulardSylvie,France,GOULARD Sylvie
199,MJRLdeGraaff,Netherlands,GRAAFF Marcel de
200,MariaGrapini,Romania,GRAPINI Maria
201,inge_graessle,Germany,GRÄSSLE Ingeborg
202,TheresaMEP,United Kingdom,GRIFFIN Theresa
203,IvetaGrigule,Latvia,GRIGULE Iveta
204,GrosseteteF,France,GROSSETÊTE Françoise
205,GrzybAndrzej,Poland,GRZYB Andrzej
206,gualtierieurope,Italy,GUALTIERI Roberto
207,sylvieguillaume,France,GUILLAUME Sylvie
208,TonyGuoga,Lithuania,GUOGA Antanas
209,JytteGuteland,Sweden,GUTELAND Jytte
210,Sergio_GP,Spain,GUTIÉRREZ PRIETO Sergio
211,thadjigeorgiou,Cyprus,HADJIGEORGIOU Takis
212,Halla_aho,Finland,HALLA-AHO Jussi
213,thaendel,Germany,HÄNDEL Thomas
214,DanielJHannan,United Kingdom,HANNAN Daniel
215,MarianHarkin,Ireland,HARKIN Marian
216,RebHarms,Germany,HARMS Rebecca
217,MartinHaeusling,Germany,HÄUSLING Martin
218,HeidiHautala,Finland,HAUTALA Heidi
219,brianhayesMEP,Ireland,HAYES Brian
220,anjahazekamp,Netherlands,HAZEKAMP Anja
221,AnnaHedh,Sweden,HEDH Anna
222,RogerHelmerMEP,United Kingdom,HELMER Roger
223,HansOlafHenkel,Germany,HENKEL Hans-Olaf
224,Hetman_K,Poland,HETMAN Krzysztof
225,MariaHeubuch,Germany,HEUBUCH Maria
226,ghokmark,Sweden,HÖKMARK Gunnar
227,maryhoneyball,United Kingdom,HONEYBALL Mary
228,MikeHookemMEP,United Kingdom,HOOKEM Mike
229,BriceHortefeux,France,HORTEFEUX Brice
230,danutahuebner,Poland,HÜBNER Danuta Maria
231,hudghtonmepSNP,United Kingdom,HUDGHTON Ian
232,jhuitema,Netherlands,HUITEMA Jan
233,SophieintVeld,Netherlands,VELD Sophia in 't
234,carlositurgaiz,Spain,ITURGAIZ Carlos
235,Catalin_Ivan,Romania,IVAN Cătălin Sorin
236,Jaakonsaari,Finland,JAAKONSAARI Liisa
237,jaatteenmaki,Finland,JÄÄTTEENMÄKI Anneli
238,yjadot,France,JADOT Yannick
239,peter_jahr,Germany,JAHR Peter
240,IvanJakovcic,Croatia,JAKOVČIĆ Ivan
241,JFJalkh,France,JALKH Jean-François
242,DianeJamesMEP,United Kingdom,JAMES Diane
243,RJaureguiA,Spain,JÁUREGUI ATONDO Ramón
244,javorbenedek,Hungary,JÁVOR Benedek
245,DJazlowiecka,Poland,JAZŁOWIECKA Danuta
246,JezekCZ,Czech Republic,JEŽEK Petr
247,TeresaJBecerril,Spain,JIMÉNEZ-BECERRIL BARRIO Teresa
248,EvaJoly,France,JOLY Eva
249,DdJong,Netherlands,JONG Dennis de
250,a_jongerius,Netherlands,JONGERIUS Agnes
251,MarcJoulaud,France,JOULAUD Marc
252,Josu_Juaristi,Spain,JUARISTI ABAUNZ Josu
253,marekjurek,Poland,JUREK Marek
254,philippejuvin,France,JUVIN Philippe
255,EvaKaili,Greece,KAILI Eva
256,kajakallas,Estonia,KALLAS Kaja
257,Kalniete,Latvia,KALNIETE Sandra
258,SyedKamall,United Kingdom,KAMALL Syed
259,othmar_karas,Austria,KARAS Othmar
260,rinakari,Denmark,KARI Rina Ronja
261,SHKMEP,United Kingdom,KARIM Sajjad
262,krisjaniskarins,Latvia,KARIŅŠ Krišjānis
263,profKarski,Poland,KARSKI Karol
264,KaufmannSylvia,Germany,KAUFMANN Sylvia-Yvonne
265,M_Kefalogiannis,Greece,KEFALOGIANNIS Manolis
266,KellerHonza,Czech Republic,KELLER Jan
267,SkaKeller,Germany,KELLER Ska
268,SeanKellyMEP,Ireland,KELLY Seán
269,Jude_KD,United Kingdom,KIRTON-DARLING Jude
270,JeppeKofod,Denmark,KOFOD Jeppe
271,KohlicekJaromir,Czech Republic,KOHLÍČEK Jaromír
272,Bernd_Koelmel,Germany,KÖLMEL Bernd
273,Konecna_K,Czech Republic,KONEČNÁ Kateřina
274,korwinmikke,Poland,KORWIN-MIKKE Janusz
275,adamkosamep,Hungary,KÓSA Ádám
276,ElliKoestinger,Austria,KÖSTINGER Elisabeth
277,SteliosKoul,Greece,KOULOGLOU Stelios
278,andreykovatchev,Bulgaria,KOVATCHEV Andrey
279,AKRajewicz,Poland,KOZŁOWSKA-RAJEWICZ Agnieszka
280,ZdzKrasnodebski,Poland,KRASNODĘBSKI Zdzisław
281,ConstanzeKrehl,Germany,KREHL Constanze
282,BarbaraKudrycka,Poland,KUDRYCKA Barbara
283,WernerKuhnMdEP,Germany,KUHN Werner
284,EduardKukan,Slovakia,KUKAN Eduard
285,miapetrakumpula,Finland,KUMPULA-NATRI Miapetra
286,kkuneva,Greece,KUNEVA Kostadinka
287,ZbigniewKuzmiuk,Poland,KUŹMIUK Zbigniew
288,ckyenge,Italy,KYENGE Cécile Kashetu
289,KyllonenMerja,Finland,KYLLÖNEN Merja
290,GiorgosKyrtsos,Greece,KYRTSOS Georgios
291,ilhankyuchyuk,Bulgaria,KYUCHYUK Ilhan
292,ALamassoure,France,LAMASSOURE Alain
293,GreenJeanMEP,United Kingdom,LAMBERT Jean
294,ph_lamberts,Belgium,LAMBERTS Philippe
295,Lambsdorff,Germany,LAMBSDORFF Alexander Graf
296,berndlange,Germany,LANGE Bernd
297,Esther_de_Lange,Netherlands,LANGE Esther de
298,langen_werner,Germany,LANGEN Werner
299,LauristinMarju,Estonia,LAURISTIN Marju
300,giovannilavia,Italy,LA VIA Giovanni
301,jlavrilleux,France,LAVRILLEUX Jérôme
302,Gilles_Lebreton,France,LEBRETON Gilles
303,PatrickLeHyaric,France,LE HYARIC Patrick
304,jo_leinen,Germany,LEINEN Jo
305,jeroen_lenaers,Netherlands,LENAERS Jeroen
306,lepenjm,France,LE PEN Jean-Marie
307,MLP_officiel,France,LE PEN Marine
308,J_Lewandowski,Poland,LEWANDOWSKI Janusz
309,ALewerMEP,United Kingdom,LEWER Andrew
310,BLiberadzki,Poland,LIBERADZKI Bogusław
311,peterliese,Germany,LIESE Peter
312,ArneLietz,Germany,LIETZ Arne
313,blochbihler,Germany,LOCHBIHLER Barbara
314,ph_loiseau,France,LOISEAU Philippe
315,Loekkegaard_MEP,Denmark,LØKKEGAARD Morten
316,SanderLoones,Belgium,LOONES Sander
317,fjavilopez,Spain,LÓPEZ Javi
318,JFLopezAguilar,Spain,LÓPEZ AGUILAR Juan Fernando
319,palomalopezB,Spain,LÓPEZ BERMEJO Paloma
320,TonoEPP,Spain,LÓPEZ-ISTÚRIZ WHITE Antonio
321,BerndLucke,Germany,LUCKE Bernd
322,olleludvigsson,Sweden,LUDVIGSSON Olle
323,UlrikeLunacek,Austria,LUNACEK Ulrike
324,KrystynaLybacka,Poland,ŁYBACKA Krystyna
325,davidmcallister,Germany,McALLISTER David
326,LindaMcAvanMEP,United Kingdom,McAVAN Linda
327,EmmaMcClarkin,United Kingdom,McCLARKIN Emma
328,MaireadMcGMEP,Ireland,McGUINNESS Mairead
329,PetrMachMEP,Czech Republic,MACH Petr
330,anthea_mcintyre,United Kingdom,McINTYRE Anthea
331,MonicaMacovei1,Romania,MACOVEI Monica
332,VickyMaeijer,Netherlands,MAEIJER Vicky
333,MaleticIvana,Croatia,MALETIĆ Ivana
334,SvMalinov,Bulgaria,MALINOV Svetoslav Hristov
335,curziomaltesetw,Italy,MALTESE Curzio
336,AndrejsMamikins,Latvia,MAMIKINS Andrejs
337,RamonaManescu,Romania,MĂNESCU Ramona Nicole
338,fmarcellesi,Spain,MARCELLESI Florent
339,Notis_Marias,Greece,MARIAS Notis
340,MarianMarinescu,Romania,MARINESCU Marian-Jean
341,marinhoepinto,Portugal,MARINHO E PINTO António
342,davidmartinmep,United Kingdom,MARTIN David
343,DMartinFN,France,MARTIN Dominique
344,edouardmartinEU,France,MARTIN Edouard
345,fulviomartuscie,Italy,MARTUSCIELLO Fulvio
346,mmatias_,Portugal,MATIAS Marisa
347,GabrielMatoA,Spain,MATO Gabriel
348,stefanomaullu,Italy,MAULLU Stefano
349,emmanuelmaurel,France,MAUREL Emmanuel
350,alexlmayer,United Kingdom,MAYER Alex
351,georgmayermep,Austria,MAYER Georg
352,ValentinasMazu1,Lithuania,MAZURONIS Valentinas
353,gesine_meissner,Germany,MEISSNER Gesine
354,JLMelenchon,France,MÉLENCHON Jean-Luc
355,JoelleMelinFN,France,MÉLIN Joëlle
356,NunoMeloCDS,Portugal,MELO Nuno
357,MrMesserschmidt,Denmark,MESSERSCHMIDT Morten
358,MeszericsT,Hungary,MESZERICS Tamás
359,RobertaMetsola,Malta,METSOLA Roberta
360,LouisMichel,Belgium,MICHEL Louis
361,martina_michels,Germany,MICHELS Martina
362,miromikolasik,Slovakia,MIKOLÁŠIK Miroslav
363,MatthijsvMilt,Netherlands,MILTENBURG Matthijs van
364,AnneMarieMineur,Netherlands,MINEUR Anne-Marie
365,MarleneMizzi,Malta,MIZZI Marlene
366,AngelikaMlinar,Austria,MLINAR Angelika
367,GiuliaMoi_M5S,Italy,MOI Giulia
368,sorinmoisa,Romania,MOISĂ Sorin
369,bernard_monot,France,MONOT Bernard
370,cmonteiroaguiar,Portugal,MONTEIRO DE AGUIAR Cláudia
371,ClareMoodyMEP,United Kingdom,MOODY Clare
372,ClaudeMoraesMEP,United Kingdom,MORAES Claude
373,nadine__morano,France,MORANO Nadine
374,luigi_morgano,Italy,MORGANO Luigi
375,emorinchartier,France,MORIN-CHARTIER Elisabeth
376,alessiamosca,Italy,MOSCA Alessia Maria
377,UliMuellerMdEP,Germany,MÜLLER Ulrike
378,SMuresan,Romania,MUREŞAN Siegfried
379,RenaudMuselier,France,MUSELIER Renaud
380,Ale_Mussolini_,Italy,MUSSOLINI Alessandra
381,NagyJozsefEU,Slovakia,NAGY József
382,negrescuvictor,Romania,NEGRESCU Victor
383,momchilnekov,Bulgaria,NEKOV Momchil
384,JNicholsonMEP,United Kingdom,NICHOLSON James
385,ANiebler,Germany,NIEBLER Angelika
386,LudekNie,Czech Republic,NIEDERMAYER Luděk
387,NiedermullerMEP,Hungary,NIEDERMÜLLER Péter
388,CvNieuwenhuizen,Netherlands,NIEUWENHUIZEN Cora van
389,jensni,Sweden,NILSSON Jens
390,LiadhNiRiadaMEP,Ireland,NÍ RIADA Liadh
391,LvNistelrooij,Netherlands,NISTELROOIJ Lambert van
392,AndreyNovakov,Bulgaria,NOVAKOV Andrey
393,paulnuttallukip,United Kingdom,NUTTALL Paul
394,franzobermayr,Austria,OBERMAYR Franz
395,oflynnmep,United Kingdom,O'FLYNN Patrick
396,JanOlbrycht,Poland,OLBRYCHT Jan
397,younousomarjee,France,OMARJEE Younous
398,biuroposelskie,Poland,OŻÓG Stanisław
399,Pabriks,Latvia,PABRIKS Artis
400,Urmaspaet,Estonia,PAET Urmas
401,maitepagaza,Spain,PAGAZAURTUNDÚA RUIZ Maite
402,RolandasPaksas,Lithuania,PAKSAS Rolandas
403,AntonioPanzeri,Italy,PANZERI Pier Antonio
404,MassimoPaolucc6,Italy,PAOLUCCI Massimo
405,DemPapadakis,Cyprus,PAPADAKIS Demetris
406,papadimoulis,Greece,PAPADIMOULIS Dimitrios
407,gillespargneaux,France,PARGNEAUX Gilles
408,MargotLJParker,United Kingdom,PARKER Margot
409,PatricielloAldo,Italy,PATRICIELLO Aldo
410,PavelEmilian,Romania,PAVEL Emilian
411,PediciniM5S,Italy,PEDICINI Piernicola
412,Vincent_Peillon,France,PEILLON Vincent
413,lojzepeterle,Slovenia,PETERLE Alojz
414,mortenhelveg,Denmark,PETERSEN Morten Helveg
415,marijana_petir,Croatia,PETIR Marijana
416,f_philippot,France,PHILIPPOT Florian
417,pinapic,Italy,PICIERNO Pina
418,TPicula,Croatia,PICULA Tonino
419,markuspieperMEP,Germany,PIEPER Markus
420,spietikainen,Finland,PIETIKÄINEN Sirpa
421,KatiPiri,Netherlands,PIRI Kati
422,giannipittella,Italy,PITTELLA Gianni
423,pavelpoc,Czech Republic,POC Pavel
424,PocheMEP,Czech Republic,POCHE Miroslav
425,SalvoPogliese,Italy,POGLIESE Salvatore Domenico
426,stanislavpolcak,Czech Republic,POLČÁK Stanislav
427,mauriceponga,France,PONGA Maurice
428,TomaszPoreba,Poland,PORĘBA Tomasz Piotr
429,Pospisil_Jiri,Czech Republic,POSPÍŠIL Jiří
430,SorayaPostFi,Sweden,POST Soraya
431,CDPreda,Romania,PREDA Cristian Dan
432,MarcusPretzell,Germany,PRETZELL Marcus
433,GabrielePreuss,Germany,PREUSS Gabriele
434,JProcterMEP,United Kingdom,PROCTER John
435,franckproust,France,PROUST Franck
436,CarolinaPunset,Spain,PUNSET Carolina
437,GQuisthoudt,Germany,QUISTHOUDT-ROWOHL Godelieve
438,Emil_Radev,Bulgaria,RADEV Emil
439,jozorados,Croatia,RADOŠ Jozo
440,libertarofuturo,Portugal,RANGEL Paulo
441,Senficon,Germany,REDA Julia
442,VivianeRedingEU,Luxembourg,REDING Viviane
443,Evelyn_Regner,Austria,REGNER Evelyn
444,julia_reid,United Kingdom,REID Julia
445,michelreimon,Austria,REIMON Michel
446,TerryReintke,Germany,REINTKE Terry
447,hreul,Germany,REUL Herbert
448,cdallonnes,France,REVAULT D'ALLONNES BONNEFOY Christine
449,SofiaHRibeiro,Portugal,RIBEIRO Sofia
450,Frederiqueries,Belgium,RIES Frédérique
451,DominiqueRiquet,France,RIQUET Dominique
452,MicheleRivasi,France,RIVASI Michèle
453,robertrochefort,France,ROCHEFORT Robert
454,LilianaMEP,Portugal,RODRIGUES Liliana
455,MJRodriguesEU,Portugal,RODRIGUES Maria João
456,RodriguezPinero,Spain,RODRÍGUEZ-PIÑERO FERNÁNDEZ Inmaculada
457,UlrikeRodust,Germany,RODUST Ulrike
458,rohde_jens,Denmark,ROHDE Jens
459,clauderolin,Belgium,ROLIN Claude
460,BronisRopeLT,Lithuania,ROPĖ Bronis
461,DariuszRosati,Poland,ROSATI Dariusz
462,VRoziere,France,ROZIÈRE Virginie
463,fernandoruas,Portugal,RUAS Fernando
464,PaulRuebig,Austria,RÜBIG Paul
465,TokiaSaifi,France,SAÏFI Tokia
466,SofiaSakorafa,Greece,SAKORAFA Sofia
467,MaxSalini,Italy,SALINI Massimiliano
468,matteosalvinimi,Italy,SALVINI Matteo
469,LolaPodemos,Spain,SÁNCHEZ CALDENTEY Lola
470,ASanderMEP,France,SANDER Anne
471,SantAlfred,Malta,SANT Alfred
472,DacianaSarbu,Romania,SÂRBU Daciana Octavia
473,judithineuropa,Netherlands,SARGENTINI Judith
474,petrisarvamaa,Finland,SARVAMAA Petri
475,JSaryuszWolski,Poland,SARYUSZ-WOLSKI Jacek
476,DavidSassoli,Italy,SASSOLI David-Maria
477,SaudargasA,Lithuania,SAUDARGAS Algirdas
478,MarietjeSchaake,Netherlands,SCHAAKE Marietje
479,JLSchaffhauser,France,SCHAFFHAUSER Jean-Luc
480,SchaldemoseMEP,Denmark,SCHALDEMOSE Christel
481,ellyesse,Italy,SCHLEIN Elly
482,Schmidt_Clau,Austria,SCHMIDT Claudia
483,HelmutScholzMEP,Germany,SCHOLZ Helmut
484,schopflinMEP,Hungary,SCHÖPFLIN György
485,AnnieSchreijer,Netherlands,SCHREIJER-PIERIK Annie
486,MartinSchulz,Germany,SCHULZ Martin
487,schulzeeuropa,Germany,SCHULZE Sven
488,Andreas_Schwab,Germany,SCHWAB Andreas
489,OlgaSehnalova,Czech Republic,SEHNALOVÁ Olga
490,jasenkos,Sweden,SELIMOVIC Jasenko
491,LidiaSenra,Spain,SENRA RODRÍGUEZ Maria Lidia
492,SernagiottoRemo,Italy,SERNAGIOTTO Remo
493,JSeymourUKIP,United Kingdom,SEYMOUR Jill
494,CzSiekierski,Poland,SIEKIERSKI Czesław Adam
495,PeterSimonMEP,Germany,SIMON Peter
496,sionsimon,United Kingdom,SIMON Siôn
497,BirgitSippelMEP,Germany,SIPPEL Birgit
498,BranoSkripek,Slovakia,ŠKRIPEK Branislav
499,DavorSkrlec,Croatia,ŠKRLEC Davor
500,AlynSmithMEP,United Kingdom,SMITH Alyn
501,SmolkovaMonika,Slovakia,SMOLKOVÁ Monika
502,msojdrova,Czech Republic,ŠOJDROVÁ Michaela
503,jordisolef,Spain,SOLÉ I FERRANDO Jordi
504,isoltesEP,Slovenia,ŠOLTES Igor
505,MartinSonneborn,Germany,SONNEBORN Martin
506,renatosoru,Italy,SORU Renato
507,MariaSpyraki,Greece,SPYRAKI Maria
508,BartStaes,Belgium,STAES Bart
509,SergeiStanishev,Bulgaria,STANISHEV Sergei
510,JStarbatty,Germany,STARBATTY Joachim
511,IvanStefanec,Slovakia,ŠTEFANEC Ivan
512,JuttaSteinruck,Germany,STEINRUCK Jutta
513,StetinaEP,Czech Republic,ŠTĚTINA Jaromír
514,StevensHelga,Belgium,STEVENS Helga
515,C_Stihler_MEP,United Kingdom,STIHLER Catherine
516,TheodorStolojan,Romania,STOLOJAN Theodor Dumitru
517,Beatrix_vStorch,Germany,STORCH Beatrix von
518,OlafStuger,Netherlands,STUGER Olaf
519,dubravkasuica,Croatia,ŠUICA Dubravka
520,SulikRichard,Slovakia,SULÍK Richard
521,PatricijaSulin,Slovenia,ŠULIN Patricija
522,1PavelSvoboda,Czech Republic,SVOBODA Pavel
523,KaySwinburneMEP,United Kingdom,SWINBURNE Kay
